Phenotype,Method,h2model,clumpprune,numberofpca,n_folds,mean_h2,std_h2,median_h2,min_h2,max_h2,CV,fold_SE,CI_lower_fold,CI_upper_fold,SNR_fold,significant_fold,tool_SE_mean,tool_SE_std,tool_SE_min,tool_SE_max,n_folds_with_tool_SE,CI_lower_tool,CI_upper_tool,SNR_tool,significant_tool,mean_variants
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype,yes,6,5,0.1528,0.1209,0.1422,0.015,0.3455,0.7915,0.0541,0.0468,0.2588,2.8252,Yes,0.3748,0.0074,0.3647,0.3826,5,-0.5818,0.8874,0.4076,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,4,0.2065,0.413,0.0,0.0,0.826,2.0,0.2065,-0.1982,0.6113,1.0,No,0.7719,0.0403,0.7264,0.824,4,-1.3064,1.7194,0.2675,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,5,0.0003,0.0007,0.0,0.0,0.0015,2.2361,0.0003,-0.0003,0.0009,1.0,No,0.4915,0.0195,0.4633,0.5077,5,-0.9631,0.9637,0.0006,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,4,0.2195,0.439,0.0,0.0,0.878,2.0,0.2195,-0.2107,0.6497,1.0,No,0.7431,0.0248,0.7278,0.7798,4,-1.237,1.6761,0.2954,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,5,0.0,0.0,0.0,0.0,0.0,1.3708,0.0,-0.0,0.0,1.6312,No,0.4966,0.0173,0.4763,0.5168,5,-0.9734,0.9734,0.0,No,27256.8
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype,no,6,5,0.6344,0.3087,0.5589,0.2291,1.0,0.4867,0.1381,0.3638,0.905,4.5945,Yes,0.8466,0.0335,0.8173,0.9044,5,-1.0249,2.2937,0.7493,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype,yes,6,5,0.5123,0.2511,0.4139,0.2519,0.8804,0.4903,0.1123,0.2921,0.7324,4.5608,Yes,0.4993,0.2265,0.3922,0.9044,5,-0.4664,1.491,1.0259,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,5,0.3275,0.4463,0.0607,0.0,0.996,1.3627,0.1996,-0.0637,0.7188,1.6409,No,1.1531,0.0957,1.0819,1.32,5,-1.9326,2.5877,0.284,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,5,0.0738,0.1047,0.0,0.0,0.2233,1.4184,0.0468,-0.018,0.1656,1.5764,No,0.5352,0.0213,0.5107,0.555,5,-0.9752,1.1229,0.138,No,27780.0
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,5,0.3638,0.4664,0.0946,0.0,0.9965,1.2819,0.2086,-0.045,0.7726,1.7443,No,1.1713,0.1325,1.0889,1.4065,5,-1.9318,2.6595,0.3106,No,598280.6
body_mass_index_bmi,DPR-Gemma-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,5,0.1246,0.172,0.0,0.0,0.3433,1.3812,0.0769,-0.0262,0.2753,1.6189,No,0.5466,0.0175,0.527,0.563,5,-0.9469,1.196,0.2279,No,27780.0
body_mass_index_bmi,GCTA-Heritability,GCTA_genotype,no,6,5,0.6591,0.3249,0.5133,0.2791,1.0,0.493,0.1453,0.3743,0.944,4.536,Yes,0.8411,0.032,0.8136,0.8962,5,-0.9894,2.3077,0.7837,No,619653.0
body_mass_index_bmi,GCTA-Heritability,GCTA_genotype,yes,6,5,0.3931,0.1745,0.3061,0.2055,0.6014,0.444,0.0781,0.2401,0.546,5.0359,Yes,0.4039,0.0084,0.3943,0.413,5,-0.3985,1.1847,0.9732,No,28607.8
body_mass_index_bmi,GCTA-Heritability,GCTA_genotype_covariate,no,6,5,0.3307,0.4691,0.0,0.0,1.0,1.4186,0.2098,-0.0805,0.7418,1.5763,No,1.0996,0.0256,1.073,1.14,5,-1.8245,2.4858,0.3007,No,619653.0
body_mass_index_bmi,GCTA-Heritability,GCTA_genotype_covariate,yes,6,5,0.0038,0.0085,0.0,0.0,0.019,2.2349,0.0038,-0.0036,0.0112,1.0005,No,0.5372,0.018,0.5155,0.5534,5,-1.0491,1.0567,0.0071,No,28607.8
body_mass_index_bmi,GCTA-Heritability,GCTA_genotype_covariate_pca,no,6,5,0.361,0.4989,0.0005,0.0,1.0,1.3819,0.2231,-0.0763,0.7983,1.6181,No,1.0996,0.0224,1.077,1.136,5,-1.7942,2.5162,0.3283,No,619653.0
body_mass_index_bmi,GCTA-Heritability,GCTA_genotype_covariate_pca,yes,6,5,0.0463,0.0647,0.0,0.0,0.1341,1.3976,0.0289,-0.0104,0.103,1.6,No,0.5487,0.0153,0.5306,0.5627,5,-1.0291,1.1217,0.0844,No,28607.8
body_mass_index_bmi,Gemma1-Heritability,HE regression_centered_genotype,no,6,5,0.3539,0.1468,0.3297,0.203,0.598,0.4147,0.0656,0.2253,0.4826,5.3918,Yes,0.454,0.0316,0.4081,0.4898,5,-0.5358,1.2437,0.7796,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,HE regression_centered_genotype,yes,6,5,0.1164,0.085,0.1105,0.015,0.2505,0.7306,0.038,0.0418,0.1909,3.0608,Yes,0.3344,0.0053,0.3273,0.3411,5,-0.5391,0.7718,0.3479,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,HE regression_centered_genotype_covariate,no,6,5,-0.0007,0.2036,-0.0806,-0.1135,0.3613,288.2481,0.0911,-0.1792,0.1778,-0.0078,No,0.3056,0.0385,0.2665,0.3608,5,-0.5997,0.5983,-0.0023,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,HE regression_centered_genotype_covariate,yes,6,5,-0.1909,0.1635,-0.153,-0.4147,-0.0,0.8563,0.0731,-0.3342,-0.0476,-2.6112,No,0.2141,0.0136,0.1969,0.2332,5,-0.6106,0.2288,-0.8915,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,no,6,5,0.0382,0.2184,-0.0445,-0.0921,0.4272,5.7127,0.0977,-0.1532,0.2297,0.3914,No,0.3249,0.0402,0.2883,0.387,5,-0.5986,0.6751,0.1177,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,5,-0.1659,0.2116,-0.1311,-0.4866,0.0724,1.2756,0.0946,-0.3514,0.0196,-1.7529,No,0.2213,0.0208,0.1913,0.248,5,-0.5996,0.2678,-0.7497,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,HE regression_standardized_genotype,no,6,5,0.5197,0.3418,0.3887,0.1665,1.0454,0.6576,0.1528,0.2201,0.8193,3.4003,Yes,0.6701,0.0307,0.6169,0.6918,5,-0.7937,1.8331,0.7756,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,HE regression_standardized_genotype,yes,6,5,0.3791,0.1242,0.3538,0.2315,0.5689,0.3275,0.0555,0.2703,0.488,6.8275,Yes,0.3779,0.0091,0.3674,0.3884,5,-0.3616,1.1199,1.0031,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,HE regression_standardized_genotype_covariate,no,6,5,0.1551,0.4122,0.0323,-0.1779,0.8163,2.6579,0.1843,-0.2062,0.5164,0.8413,No,0.4699,0.0797,0.4083,0.5802,5,-0.7658,1.076,0.3301,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,HE regression_standardized_genotype_covariate,yes,6,5,-0.1185,0.2015,-0.2003,-0.3672,0.1137,1.7004,0.0901,-0.2951,0.0581,-1.3151,No,0.2427,0.0187,0.2191,0.2701,5,-0.5941,0.3571,-0.4883,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,5,0.2094,0.4493,0.0453,-0.1608,0.9251,2.1453,0.2009,-0.1844,0.6032,1.0423,No,0.498,0.0886,0.4301,0.6254,5,-0.7667,1.1855,0.4205,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,5,-0.0829,0.236,-0.1441,-0.3904,0.1813,2.8453,0.1055,-0.2898,0.1239,-0.7859,No,0.2529,0.0246,0.2198,0.286,5,-0.5786,0.4127,-0.328,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_centered_genotype,no,6,5,0.4984,0.2275,0.5098,0.2625,0.8559,0.4564,0.1017,0.299,0.6979,4.8993,Yes,0.6139,0.0201,0.6002,0.6491,5,-0.7048,1.7017,0.8119,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_centered_genotype,yes,6,5,0.1528,0.1209,0.1422,0.015,0.3455,0.7915,0.0541,0.0468,0.2588,2.8252,Yes,0.3748,0.0074,0.3647,0.3826,5,-0.5818,0.8874,0.4076,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,5,0.1652,0.3694,0.0,0.0,0.826,2.2361,0.1652,-0.1586,0.489,1.0,No,0.7589,0.0454,0.707,0.824,5,-1.3223,1.6527,0.2177,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,5,0.0003,0.0007,0.0,0.0,0.0015,2.2361,0.0003,-0.0003,0.0009,1.0,No,0.4915,0.0195,0.4633,0.5077,5,-0.9631,0.9637,0.0006,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,5,0.1756,0.3927,0.0,0.0,0.878,2.2361,0.1756,-0.1686,0.5198,1.0,No,0.7588,0.0411,0.7278,0.8214,5,-1.3116,1.6629,0.2314,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,5,0.0287,0.0641,0.0,0.0,0.1434,2.2361,0.0287,-0.0275,0.0849,1.0,No,0.5036,0.0136,0.4854,0.5168,5,-0.9583,1.0156,0.0569,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_standardized_genotype,no,6,5,0.6344,0.3088,0.5589,0.2291,1.0,0.4867,0.1381,0.3638,0.905,4.5944,Yes,0.8466,0.0335,0.8173,0.9044,5,-1.0249,2.2937,0.7494,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_standardized_genotype,yes,6,5,0.4439,0.1533,0.4139,0.2519,0.6476,0.3454,0.0686,0.3095,0.5782,6.4733,Yes,0.4007,0.0083,0.3922,0.411,5,-0.3414,1.2292,1.1078,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,5,0.3275,0.4463,0.0607,0.0,0.996,1.3627,0.1996,-0.0637,0.7188,1.6409,No,1.1531,0.0957,1.0819,1.32,5,-1.9326,2.5877,0.284,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,5,0.0738,0.1047,0.0,0.0,0.2233,1.4184,0.0468,-0.018,0.1656,1.5764,No,0.5352,0.0213,0.5107,0.555,5,-0.9752,1.1229,0.138,No,27780.0
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,5,0.3638,0.4664,0.0946,0.0,0.9965,1.2819,0.2086,-0.045,0.7726,1.7443,No,1.1713,0.1325,1.0889,1.4065,5,-1.9319,2.6595,0.3106,No,598280.6
body_mass_index_bmi,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,yes,6,5,0.1246,0.172,0.0,0.0,0.3433,1.3812,0.0769,-0.0262,0.2753,1.6189,No,0.5466,0.0175,0.527,0.563,5,-0.9469,1.196,0.2279,No,27780.0
body_mass_index_bmi,Gemma2-Heritability,HE regression_genotype,no,6,5,0.129,0.0012,0.1284,0.128,0.1306,0.0095,0.0005,0.1279,0.1301,236.0319,Yes,0.0065,0.0002,0.0064,0.0069,5,0.1163,0.1417,19.8772,Yes,82362.0
body_mass_index_bmi,Gemma2-Heritability,HE regression_genotype,yes,6,5,0.1559,0.0009,0.1556,0.1552,0.1573,0.0056,0.0004,0.1551,0.1567,396.5259,Yes,0.0068,0.0002,0.0065,0.0071,5,0.1426,0.1692,22.9285,Yes,27515.0
body_mass_index_bmi,Gemma2-Heritability,HE regression_genotype_covariate,no,6,5,0.1283,0.0016,0.1277,0.1267,0.1301,0.0122,0.0007,0.1269,0.1296,183.8606,Yes,0.077,0.0023,0.0742,0.0799,5,-0.0227,0.2792,1.6657,No,82362.0
body_mass_index_bmi,Gemma2-Heritability,HE regression_genotype_covariate,yes,6,5,0.1545,0.001,0.1542,0.1534,0.1558,0.0066,0.0005,0.1536,0.1553,340.9838,Yes,0.0937,0.0008,0.0925,0.0945,5,-0.0292,0.3381,1.6486,No,27515.0
body_mass_index_bmi,Gemma2-Heritability,HE regression_genotype_covariate_pca,no,6,5,0.1298,0.0015,0.1299,0.128,0.1314,0.0116,0.0007,0.1284,0.1311,192.6987,Yes,0.0789,0.0021,0.0763,0.0813,5,-0.0249,0.2844,1.6446,No,82362.0
body_mass_index_bmi,Gemma2-Heritability,HE regression_genotype_covariate_pca,yes,6,5,0.1573,0.0011,0.1572,0.1562,0.1589,0.0071,0.0005,0.1563,0.1583,313.3063,Yes,0.0973,0.0008,0.0961,0.098,5,-0.0334,0.348,1.6166,No,27515.0
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_BLD-LDAK_yes,yes,6,5,0.1584,0.0027,0.1578,0.1564,0.1629,0.0168,0.0012,0.1561,0.1607,132.8881,Yes,0.0033,0.0,0.0033,0.0034,5,0.1519,0.1649,47.4314,Yes,10445.4
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_GCTA_yes,yes,6,5,0.1584,0.0027,0.1578,0.1564,0.1629,0.0168,0.0012,0.1561,0.1607,132.8881,Yes,0.0033,0.0,0.0033,0.0034,5,0.1519,0.1649,47.4314,Yes,10445.4
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_alpha_-0.5_yes,yes,6,5,0.1608,0.0029,0.1602,0.1583,0.1654,0.0178,0.0013,0.1582,0.1633,125.7235,Yes,0.0035,0.0,0.0034,0.0036,5,0.1539,0.1676,46.0418,Yes,10445.4
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_alpha_0.0_yes,yes,6,5,0.1617,0.0032,0.1612,0.1591,0.1668,0.0196,0.0014,0.159,0.1645,114.1364,Yes,0.0037,0.0001,0.0037,0.0038,5,0.1545,0.169,43.4896,Yes,10445.4
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_alpha_0.5_yes,yes,6,5,0.1599,0.0034,0.1593,0.1568,0.1652,0.021,0.0015,0.157,0.1628,106.6993,Yes,0.0039,0.0001,0.0038,0.004,5,0.1523,0.1675,41.4019,Yes,10445.4
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_alpha_1.0_yes,yes,6,5,0.1577,0.0034,0.1571,0.1544,0.1631,0.0217,0.0015,0.1547,0.1607,103.0671,Yes,0.004,0.0001,0.0039,0.0041,5,0.15,0.1655,39.7884,Yes,10445.4
body_mass_index_bmi,LDAK-Calculated-Heritability,LDAK_human_yes,yes,6,5,0.1618,0.003,0.1612,0.1592,0.1667,0.0187,0.0014,0.1591,0.1644,119.5533,Yes,0.0036,0.0001,0.0036,0.0037,5,0.1547,0.1689,44.7543,Yes,10445.4
body_mass_index_bmi,LDAK-Precomputed-Heritability,LDAK_bld.ldak.genotyped.gbr.tagging,no,-,5,0.3466,0.0,0.3466,0.3466,0.3466,0.0,0.0,0.3466,0.3466,,Yes,0.0092,0.0,0.0092,0.0092,5,0.3285,0.3647,37.5076,Yes,83692.0
body_mass_index_bmi,LDAK-Precomputed-Heritability,LDAK_bld.ldak.hapmap.gbr.tagging,no,-,5,0.3557,0.0,0.3557,0.3557,0.3557,0.0,0.0,0.3557,0.3557,,Yes,0.0188,0.0,0.0188,0.0188,5,0.3189,0.3925,18.9543,Yes,42460.0
body_mass_index_bmi,LDAK-Precomputed-Heritability,LDAK_bld.ldak.lite.alpha.genotyped.gbr.tagging,no,-,5,0.4175,0.0131,0.408,0.408,0.4318,0.0313,0.0058,0.4061,0.429,71.4988,Yes,0.1077,0.0193,0.0866,0.1218,5,0.2064,0.6286,3.877,Yes,83692.0
body_mass_index_bmi,LDAK-Precomputed-Heritability,LDAK_bld.ldak.lite.alpha.hapmap.gbr.tagging,no,-,5,0.3846,0.0125,0.3937,0.3709,0.3937,0.0325,0.0056,0.3736,0.3955,68.8797,Yes,0.2963,0.0023,0.2938,0.298,5,-0.1962,0.9654,1.2979,No,42460.0
body_mass_index_bmi,LDAK-Precomputed-Heritability,LDAK_ldak.thin.genotyped.gbr.tagging,no,-,5,0.3187,0.0,0.3187,0.3187,0.3187,0.0,0.0,0.3187,0.3187,,Yes,0.0065,0.0,0.0065,0.0065,5,0.306,0.3314,49.3726,Yes,83692.0
body_mass_index_bmi,LDAK-Precomputed-Heritability,LDAK_ldak.thin.hapmap.gbr.tagging,no,-,5,0.3252,0.0,0.3252,0.3252,0.3252,0.0,0.0,0.3252,0.3252,,Yes,0.0151,0.0,0.0151,0.0151,5,0.2957,0.3548,21.5849,Yes,42460.0
body_mass_index_bmi,LDSC-Genotype-Heritability,LDSC_Genotype_Reference,yes,-,5,0.0403,0.0,0.0403,0.0403,0.0403,0.0,0.0,0.0403,0.0403,,Yes,0.0156,0.0,0.0156,0.0156,5,0.0097,0.0709,2.5833,Yes,28583.0
body_mass_index_bmi,LDSC-Heritability,LDSC_eur_ref_ld_chr_eur_ref_ld_chr,no,-,5,0.0403,0.0,0.0403,0.0403,0.0403,0.0,0.0,0.0403,0.0403,,Yes,0.0156,0.0,0.0156,0.0156,5,0.0097,0.0709,2.5833,Yes,28583.0
body_mass_index_bmi,LDSC-Heritability,LDSC_eur_ref_ld_chr_eur_w_ld_chr,no,-,5,0.0403,0.0,0.0403,0.0403,0.0403,0.0,0.0,0.0403,0.0403,,Yes,0.0156,0.0,0.0156,0.0156,5,0.0097,0.0709,2.5833,Yes,28583.0
body_mass_index_bmi,LDSC-Heritability,LDSC_eur_w_ld_chr_eur_ref_ld_chr,no,-,5,0.0403,0.0,0.0403,0.0403,0.0403,0.0,0.0,0.0403,0.0403,,Yes,0.0156,0.0,0.0156,0.0156,5,0.0097,0.0709,2.5833,Yes,28583.0
body_mass_index_bmi,LDSC-Heritability,LDSC_eur_w_ld_chr_eur_w_ld_chr,no,-,5,0.0403,0.0,0.0403,0.0403,0.0403,0.0,0.0,0.0403,0.0403,,Yes,0.0156,0.0,0.0156,0.0156,5,0.0097,0.0709,2.5833,Yes,28583.0
body_mass_index_bmi,LDpred-2-Heritability,LDpred-2_full,no,6,5,0.152,0.0006,0.1524,0.1514,0.1525,0.0038,0.0003,0.1515,0.1525,581.8293,Yes,,,,,0,,,,NA,86190.0
body_mass_index_bmi,LDpred-2-Heritability,LDpred-2_full,yes,6,5,0.5028,0.0477,0.5101,0.4334,0.5557,0.0948,0.0213,0.461,0.5446,23.5755,Yes,,,,,0,,,,NA,28607.8
body_mass_index_bmi,LDpred-2-Heritability,LDpred-2_hapmap,no,6,5,0.1018,0.0003,0.1017,0.1014,0.1023,0.0033,0.0001,0.1015,0.102,687.7994,Yes,,,,,0,,,,NA,40257.0
body_mass_index_bmi,LDpred-2-Heritability,LDpred-2_hapmap,yes,6,5,0.206,0.0388,0.2304,0.1618,0.2386,0.1882,0.0173,0.1721,0.24,11.8828,Yes,,,,,0,,,,NA,13432.6
depression,GCTA-Heritability,GCTA_genotype,no,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,Yes,0.7625,0.0526,0.6751,0.809,5,-1.4944,1.4944,0.0,No,619653.0
depression,GCTA-Heritability,GCTA_genotype,yes,6,5,0.0335,0.075,0.0,0.0,0.1677,2.236,0.0335,-0.0322,0.0993,1.0,No,0.859,0.0208,0.8359,0.8891,5,-1.65,1.7171,0.039,No,174079.2
depression,GCTA-Heritability,GCTA_genotype_covariate,no,6,5,0.2854,0.4045,0.1503,0.0,1.0,1.4172,0.1809,-0.0691,0.64,1.5778,No,1.0512,0.0451,0.972,1.0821,5,-1.7748,2.3457,0.2716,No,619653.0
depression,GCTA-Heritability,GCTA_genotype_covariate,yes,6,5,0.2912,0.4094,0.0953,0.0,1.0,1.4061,0.1831,-0.0677,0.6501,1.5903,No,1.1549,0.0253,1.1262,1.1813,5,-1.9723,2.5547,0.2521,No,174079.2
depression,GCTA-Heritability,GCTA_genotype_covariate_pca,no,6,5,0.3221,0.4157,0.1262,0.0,1.0,1.2907,0.1859,-0.0423,0.6865,1.7325,No,1.0647,0.0325,1.0071,1.0848,5,-1.7647,2.4089,0.3025,No,619653.0
depression,GCTA-Heritability,GCTA_genotype_covariate_pca,yes,6,5,0.2485,0.4268,0.0575,0.0,1.0,1.7173,0.1909,-0.1256,0.6227,1.302,No,1.1904,0.0221,1.1569,1.2122,5,-2.0847,2.5818,0.2088,No,174079.2
depression,Gemma1-Heritability,HE regression_centered_genotype,no,6,5,-0.2485,0.1754,-0.2863,-0.4623,-0.0221,0.7058,0.0784,-0.4023,-0.0948,-3.1681,No,0.4546,0.0241,0.4289,0.4863,5,-1.1395,0.6425,-0.5467,No,598419.4
depression,Gemma1-Heritability,HE regression_centered_genotype,yes,6,5,-0.0911,0.3483,-0.061,-0.5843,0.3186,3.8214,0.1558,-0.3964,0.2141,-0.5851,No,0.6327,0.0173,0.6036,0.6496,5,-1.3312,1.1489,-0.1441,No,166141.2
depression,Gemma1-Heritability,HE regression_centered_genotype_covariate,no,6,5,0.3443,0.2613,0.3027,0.0641,0.7308,0.7589,0.1168,0.1153,0.5733,2.9466,Yes,0.5578,0.0785,0.4784,0.6494,5,-0.749,1.4376,0.6173,No,598419.4
depression,Gemma1-Heritability,HE regression_centered_genotype_covariate,yes,6,5,0.5209,0.4389,0.3685,0.0869,1.1691,0.8426,0.1963,0.1362,0.9056,2.6537,Yes,0.7474,0.0918,0.6598,0.8596,5,-0.9441,1.9858,0.6969,No,168683.8
depression,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,no,6,5,0.3628,0.3577,0.4424,-0.1002,0.8518,0.986,0.16,0.0492,0.6763,2.2677,Yes,0.5859,0.1056,0.464,0.7216,5,-0.7856,1.5111,0.6192,No,598419.4
depression,Gemma1-Heritability,HE regression_centered_genotype_covariate_pca,yes,6,5,0.5058,0.3727,0.343,0.1846,1.0134,0.7369,0.1667,0.1791,0.8326,3.0345,Yes,0.7537,0.0841,0.6693,0.8531,5,-0.9715,1.9831,0.6711,No,168683.8
depression,Gemma1-Heritability,HE regression_standardized_genotype,no,6,5,-0.6976,0.4096,-0.6055,-1.23,-0.2456,0.5872,0.1832,-1.0567,-0.3385,-3.8078,No,0.6751,0.0164,0.657,0.6987,5,-2.0207,0.6255,-1.0334,No,598419.4
depression,Gemma1-Heritability,HE regression_standardized_genotype,yes,6,5,-0.8623,0.7491,-0.9798,-1.5991,0.0988,0.8687,0.335,-1.5189,-0.2057,-2.5739,No,0.8729,0.0175,0.854,0.8965,5,-2.5732,0.8486,-0.9878,No,168683.8
depression,Gemma1-Heritability,HE regression_standardized_genotype_covariate,no,6,5,0.1666,0.3712,0.0306,-0.1203,0.8104,2.2276,0.166,-0.1587,0.492,1.0038,No,0.7718,0.0909,0.6949,0.9179,5,-1.3462,1.6794,0.2159,No,598419.4
depression,Gemma1-Heritability,HE regression_standardized_genotype_covariate,yes,6,5,0.2965,0.7118,0.1716,-0.4524,1.469,2.401,0.3183,-0.3275,0.9204,0.9313,No,0.9783,0.154,0.8579,1.227,5,-1.6211,2.214,0.303,No,168683.8
depression,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,no,6,5,0.1726,0.5412,0.1059,-0.5098,0.9207,3.1353,0.242,-0.3018,0.647,0.7132,No,0.8026,0.138,0.6423,0.9534,5,-1.4004,1.7456,0.2151,No,598419.4
depression,Gemma1-Heritability,HE regression_standardized_genotype_covariate_pca,yes,6,5,0.1981,0.771,-0.1657,-0.4006,1.4945,3.892,0.3448,-0.4777,0.8739,0.5745,No,0.9687,0.1675,0.8519,1.2625,5,-1.7005,2.0967,0.2045,No,168683.8
depression,Gemma1-Heritability,REML AI algorithm_centered_genotype,no,6,5,0.0223,0.0242,0.0104,0.001,0.0608,1.0866,0.0108,0.0011,0.0435,2.0579,Yes,0.5414,0.0535,0.4527,0.5873,5,-1.039,1.0835,0.0411,No,598419.4
depression,Gemma1-Heritability,REML AI algorithm_centered_genotype,yes,6,5,0.0907,0.1316,0.0226,0.0006,0.3088,1.4513,0.0589,-0.0247,0.206,1.5407,No,0.6151,0.0086,0.6017,0.6238,5,-1.115,1.2964,0.1474,No,168683.8
depression,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,no,6,5,0.4758,0.344,0.3435,0.0851,0.9028,0.7229,0.1538,0.1743,0.7774,3.0932,Yes,0.7719,0.0304,0.7293,0.8151,5,-1.037,1.9887,0.6165,No,598419.4
depression,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate,yes,6,5,0.3212,0.2136,0.2625,0.0961,0.6494,0.6649,0.0955,0.134,0.5084,3.3628,Yes,0.8329,0.0248,0.8004,0.8675,5,-1.3112,1.9536,0.3857,No,168683.8
depression,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,no,6,5,0.4887,0.3748,0.4935,0.0226,0.9544,0.7669,0.1676,0.1602,0.8173,2.9156,Yes,0.7798,0.0282,0.7521,0.826,5,-1.0397,2.0172,0.6267,No,598419.4
depression,Gemma1-Heritability,REML AI algorithm_centered_genotype_covariate_pca,yes,6,5,0.4632,0.265,0.3785,0.2158,0.7722,0.572,0.1185,0.231,0.6955,3.909,Yes,0.8509,0.023,0.8169,0.8809,5,-1.2044,2.1309,0.5444,No,168683.8
depression,Gemma1-Heritability,REML AI algorithm_standardized_genotype,no,6,5,0.0706,0.0601,0.0579,0.0185,0.1677,0.8508,0.0269,0.018,0.1233,2.6283,Yes,0.7724,0.0551,0.6808,0.82,5,-1.4433,1.5845,0.0914,No,598419.4
depression,Gemma1-Heritability,REML AI algorithm_standardized_genotype,yes,6,5,0.0658,0.0629,0.0556,0.0024,0.1556,0.9564,0.0281,0.0106,0.121,2.3379,Yes,0.8594,0.0162,0.8412,0.8775,5,-1.6186,1.7502,0.0766,No,168683.8
depression,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,no,6,5,0.506,0.3939,0.6879,0.032,0.9082,0.7786,0.1762,0.1607,0.8513,2.8719,Yes,1.0606,0.0555,0.9636,1.0969,5,-1.5728,2.5848,0.477,No,598419.4
depression,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate,yes,6,5,0.3546,0.3397,0.2546,0.0257,0.9229,0.958,0.1519,0.0568,0.6524,2.334,Yes,1.1541,0.0292,1.1238,1.1836,5,-1.9075,2.6167,0.3073,No,168683.8
depression,Gemma1-Heritability,REML AI algorithm_standardized_genotype_covariate_pca,no,6,5,0.4879,0.4097,0.4267,0.0677,0.9868,0.8399,0.1832,0.1287,0.847,2.6623,Yes,1.076,0.0408,1.0046,1.103,5,-1.6211,2.5968,0.4534,No,598419.4
