,clump_p1,clump_r2,clump_kb,p_window_size,p_slide_size,p_LD_threshold,numberofpca,h2,numberofvariants,h2model,clumpprune,Method,Phenotype,relatedmatrix,data,Unnamed: 0.1,refset,weightset,alphamodelvalue,precomputedfile
31,1.0,0.1,200.0,200.0,50.0,0.25,6.0,-0.00078640611636,555483.0,LDpred-2_full,no,LDpred-2-Heritability,migraine,,,,,,,
32,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0608537218609432,174077.2,LDpred-2_full,yes,LDpred-2-Heritability,SampleData1,,,,,,,
33,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0608537218609432,174077.2,LDpred-2_full,no,LDpred-2-Heritability,SampleData1,,,,,,,
34,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6431460937717501,35034.6,LDpred-2_hapmap,yes,LDpred-2-Heritability,SampleData1,,,,,,,
35,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6431460937717501,35034.6,LDpred-2_hapmap,no,LDpred-2-Heritability,SampleData1,,,,,,,
36,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3930536,28606.8,GCTA_genotype,yes,GCTA-Heritability,body_mass_index_bmi,,,,,,,
37,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.6591468,619652.0,GCTA_genotype,no,GCTA-Heritability,body_mass_index_bmi,,,,,,,
38,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0038015999999999,28606.8,GCTA_genotype_covariate,yes,GCTA-Heritability,body_mass_index_bmi,,,,,,,
39,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.3306648,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,body_mass_index_bmi,,,,,,,
40,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0463022,28606.8,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,body_mass_index_bmi,,,,,,,
41,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.36103,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,body_mass_index_bmi,,,,,,,
42,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.0713941999999999,26593.4,GCTA_genotype,yes,GCTA-Heritability,hypertension,,,,,,,
43,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.8052346,619652.0,GCTA_genotype,no,GCTA-Heritability,hypertension,,,,,,,
44,1.0,0.1,200.0,200.0,50.0,0.25,6.0,2e-06,26593.4,GCTA_genotype_covariate,yes,GCTA-Heritability,hypertension,,,,,,,
45,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.7590732000000001,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,hypertension,,,,,,,
46,1.0,0.1,200.0,200.0,50.0,0.25,6.0,2e-06,26593.4,GCTA_genotype_covariate_pca,yes,GCTA-Heritability,hypertension,,,,,,,
47,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.761765,619652.0,GCTA_genotype_covariate_pca,no,GCTA-Heritability,hypertension,,,,,,,
48,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.033539,174078.2,GCTA_genotype,yes,GCTA-Heritability,depression,,,,,,,
49,1.0,0.1,200.0,200.0,50.0,0.25,6.0,1e-06,619652.0,GCTA_genotype,no,GCTA-Heritability,depression,,,,,,,
50,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2911947999999999,174078.2,GCTA_genotype_covariate,yes,GCTA-Heritability,depression,,,,,,,
51,1.0,0.1,200.0,200.0,50.0,0.25,6.0,0.2854431999999999,619652.0,GCTA_genotype_covariate,no,GCTA-Heritability,depression,,,,,,,
